y_true,clean,gray,n,CR,arm
41,0.9282051282051282,0.19487179487179487,195,0.7333333333333334,resnet50
42,0.5763636363636364,0.22545454545454546,550,0.35090909090909095,resnet50
43,0.9671232876712329,0.4767123287671233,365,0.49041095890410963,resnet50
44,0.88,0.83,100,0.050000000000000044,resnet50
45,0.8693181818181818,0.0011363636363636363,880,0.8681818181818182,resnet50
46,1.0,0.20425531914893616,235,0.7957446808510639,resnet50
47,0.9686274509803922,0.06666666666666667,255,0.9019607843137255,resnet50
48,1.0,0.9379310344827586,145,0.06206896551724139,resnet50
49,0.9361111111111111,0.3527777777777778,360,0.5833333333333333,resnet50
50,0.5428571428571428,0.47983193277310926,1190,0.06302521008403356,resnet50
51,0.9784615384615385,0.9015384615384615,325,0.07692307692307698,resnet50
52,0.5698630136986301,0.06027397260273973,365,0.5095890410958904,resnet50
53,0.9853658536585366,0.7560975609756098,205,0.2292682926829268,resnet50
54,0.9490196078431372,0.49411764705882355,255,0.45490196078431366,resnet50
55,0.9797752808988764,0.07191011235955057,445,0.9078651685393259,resnet50
56,0.9276595744680851,0.9531914893617022,235,-0.025531914893617058,resnet50
57,0.9851063829787234,0.00851063829787234,470,0.9765957446808511,resnet50
58,0.9914893617021276,0.01702127659574468,235,0.9744680851063829,resnet50
59,0.9820224719101124,0.6112359550561798,445,0.3707865168539326,resnet50
60,0.94,0.29333333333333333,150,0.6466666666666666,resnet50
61,0.7714285714285715,0.17714285714285713,175,0.5942857142857143,resnet50
62,0.9705882352941176,0.17647058823529413,170,0.7941176470588235,resnet50
63,0.99375,0.96875,160,0.025000000000000022,resnet50
64,0.875609756097561,0.1878048780487805,410,0.6878048780487804,resnet50
65,1.0,0.9365853658536586,205,0.06341463414634141,resnet50
66,0.6,0.5363636363636364,110,0.0636363636363636,resnet50
67,0.8823529411764706,0.8,170,0.08235294117647052,resnet50
68,0.9941176470588236,0.6352941176470588,170,0.35882352941176476,resnet50
69,0.9809523809523809,0.5047619047619047,210,0.47619047619047616,resnet50
70,0.996551724137931,0.5655172413793104,290,0.43103448275862066,resnet50
71,0.8236842105263158,0.20789473684210527,380,0.6157894736842106,resnet50
72,0.9080459770114943,0.6931034482758621,870,0.21494252873563213,resnet50
73,0.590728476821192,0.06357615894039735,755,0.5271523178807946,resnet50
74,0.894,0.702,500,0.19200000000000006,resnet50
75,0.7540229885057471,0.7609195402298851,435,-0.006896551724137945,resnet50
76,0.9134199134199135,0.9108225108225109,1155,0.0025974025974025983,resnet50
77,0.8307692307692308,0.7435897435897436,585,0.0871794871794872,resnet50
78,1.0,0.9714285714285714,105,0.02857142857142858,resnet50
79,0.9576470588235294,0.44,425,0.5176470588235293,resnet50
80,0.9506849315068493,0.40684931506849314,730,0.5438356164383562,resnet50
81,0.7695652173913043,0.6934782608695652,460,0.07608695652173914,resnet50
82,0.7153153153153153,0.4144144144144144,555,0.30090090090090094,resnet50
