y_true,clean,gray,n,CR,arm
0,0.8133333333333334,0.58,150,0.2333333333333334,resnet50
1,0.7866666666666666,0.62,150,0.16666666666666663,resnet50
2,0.8285714285714286,0.8714285714285714,140,-0.042857142857142816,resnet50
3,0.8333333333333334,0.4266666666666667,150,0.4066666666666667,resnet50
4,0.9142857142857143,0.2857142857142857,70,0.6285714285714286,resnet50
5,0.8,0.8,55,0.0,resnet50
6,0.9478260869565217,0.7478260869565218,115,0.19999999999999996,resnet50
7,0.8444444444444444,0.5777777777777777,90,0.2666666666666667,resnet50
8,0.5103448275862069,0.4827586206896552,145,0.027586206896551724,resnet50
9,0.8933333333333333,0.03333333333333333,150,0.86,resnet50
10,0.5666666666666667,0.4533333333333333,150,0.11333333333333334,resnet50
11,0.9230769230769231,0.046153846153846156,130,0.8769230769230769,resnet50
12,0.9066666666666666,0.84,150,0.06666666666666665,resnet50
13,0.88,0.0,150,0.88,resnet50
14,0.95,0.014285714285714285,140,0.9357142857142857,resnet50
15,0.9142857142857143,0.0,140,0.9142857142857143,resnet50
16,0.9111111111111111,0.3333333333333333,135,0.5777777777777777,resnet50
17,0.9866666666666667,0.5333333333333333,75,0.45333333333333337,resnet50
18,0.8482758620689655,0.0896551724137931,145,0.7586206896551725,resnet50
19,0.7448275862068966,0.0,145,0.7448275862068966,resnet50
20,0.94,0.2733333333333333,150,0.6666666666666666,resnet50
21,0.6230769230769231,0.2076923076923077,130,0.41538461538461535,resnet50
22,0.5241379310344828,0.4206896551724138,145,0.103448275862069,resnet50
23,0.8818181818181818,0.19090909090909092,110,0.6909090909090909,resnet50
24,0.5333333333333333,0.6866666666666666,150,-0.15333333333333332,resnet50
25,0.9133333333333333,0.0,150,0.9133333333333333,resnet50
26,0.36,0.2866666666666667,150,0.0733333333333333,resnet50
27,0.8689655172413793,0.8482758620689655,145,0.020689655172413723,resnet50
28,0.38,0.24,150,0.14,resnet50
29,0.44,0.52,150,-0.08000000000000002,resnet50
30,0.78,0.37333333333333335,150,0.4066666666666667,resnet50
31,0.6608695652173913,0.21739130434782608,115,0.4434782608695652,resnet50
32,0.6482758620689655,0.30344827586206896,145,0.3448275862068965,resnet50
33,0.9379310344827586,0.3103448275862069,145,0.6275862068965516,resnet50
34,0.98,0.37333333333333335,150,0.6066666666666667,resnet50
35,0.98,0.84,150,0.14,resnet50
36,0.5793103448275863,0.4482758620689655,145,0.13103448275862073,resnet50
37,0.68,0.02666666666666667,150,0.6533333333333334,resnet50
38,0.5310344827586206,0.23448275862068965,145,0.29655172413793096,resnet50
39,0.5533333333333333,0.38666666666666666,150,0.16666666666666669,resnet50
40,0.9,0.6866666666666666,150,0.21333333333333337,resnet50
41,0.9133333333333333,0.0,150,0.9133333333333333,resnet50
42,0.4482758620689655,0.10344827586206896,145,0.3448275862068966,resnet50
43,0.86,0.72,150,0.14,resnet50
44,0.64,0.7133333333333334,150,-0.07333333333333336,resnet50
45,0.9333333333333333,0.76,150,0.17333333333333334,resnet50
46,0.92,0.013333333333333334,150,0.9066666666666667,resnet50
47,0.96,0.2866666666666667,150,0.6733333333333333,resnet50
48,0.66,0.24666666666666667,150,0.41333333333333333,resnet50
49,0.66,0.37333333333333335,150,0.2866666666666667,resnet50
50,0.8733333333333333,0.37333333333333335,150,0.49999999999999994,resnet50
51,0.8733333333333333,0.8,150,0.07333333333333325,resnet50
52,0.9466666666666667,0.8666666666666667,150,0.07999999999999996,resnet50
53,0.82,0.02,150,0.7999999999999999,resnet50
54,0.9133333333333333,0.006666666666666667,150,0.9066666666666666,resnet50
