dataset,model,seed,bin,n,acc,macro_f1,uar
flowers102,vit_small,3,overall,6149,0.9663359895918036,0.9637158838730706,0.9716868526925014
flowers102,vit_small,3,low,2048,0.97705078125,0.7831498651768012,0.970499289304272
flowers102,vit_small,3,mid,2053,0.9702873843156355,0.906487241524618,0.9712502636101834
flowers102,vit_small,3,high,2048,0.95166015625,0.7362739378927466,0.950647295930982
flowers102,vit_small,4,overall,6149,0.9743047650024396,0.9718434480895076,0.9775782202041648
flowers102,vit_small,4,low,2048,0.9775390625,0.776198158887371,0.9600405653493548
flowers102,vit_small,4,mid,2053,0.9810034096444228,0.9198404298727773,0.980735112178684
flowers102,vit_small,4,high,2048,0.96435546875,0.7499401105308933,0.9545540669075854
flowers102,resnet50_gray,0,overall,6149,0.0042283298097251,0.0009751771252748,0.0083469498910675
flowers102,resnet50_gray,0,low,2048,0.01171875,0.0011727842641932,0.0095022948938611
flowers102,resnet50_gray,0,mid,2053,0.0009741841207988,4.371871379544014e-05,0.0026041666666666
flowers102,resnet50_gray,0,high,2048,0.0,0.0,0.0
flowers102,resnet50_gray,1,overall,6149,0.0037404456009107,0.0005644114440248,0.0058641975308641
flowers102,resnet50_gray,1,low,2048,0.0048828125,0.0005757624396226,0.0123924268502581
flowers102,resnet50_gray,1,mid,2053,0.0048709206039941,0.0002492960293471,0.0089699074074074
flowers102,resnet50_gray,1,high,2048,0.00146484375,0.0002430724355858,0.0005787037037037
flowers102,resnet50_gray,2,overall,6149,0.0047162140185396,0.0010116434317713,0.0097672244626771
flowers102,resnet50_gray,2,low,2048,0.00830078125,0.0012238221485779,0.0152606943453255
flowers102,resnet50_gray,2,mid,2053,0.0053580126643935,0.0002484205089515,0.0112847222222222
flowers102,resnet50_gray,2,high,2048,0.00048828125,7.316359379572725e-05,0.0001929012345679
flowers102,resnet50_gray,3,overall,6149,0.0017889087656529,0.0001427631591464,0.0050941945405613
flowers102,resnet50_gray,3,low,2048,0.00146484375,8.593344736764524e-05,0.0040160642570281
flowers102,resnet50_gray,3,mid,2053,0.0038967364831953,0.0005948218547107,0.0106971153846153
flowers102,resnet50_gray,3,high,2048,0.0,0.0,0.0
flowers102,resnet50_gray,4,overall,6149,0.0047162140185396,0.00419886630532,0.0104510724477584
flowers102,resnet50_gray,4,low,2048,0.01025390625,0.0046000012567375,0.0103218067073488
flowers102,resnet50_gray,4,mid,2053,0.0038967364831953,0.0034727871490817,0.0108333333333333
flowers102,resnet50_gray,4,high,2048,0.0,0.0,0.0
flowers102,convnext_tiny_in1k_gray,0,overall,6149,0.8080988778663197,0.7843767253464533,0.7971399571562363
flowers102,convnext_tiny_in1k_gray,0,low,2048,0.8466796875,0.6168361177518118,0.7814968947727768
flowers102,convnext_tiny_in1k_gray,0,mid,2053,0.8197759376522162,0.7319207069881214,0.8032631379045639
flowers102,convnext_tiny_in1k_gray,0,high,2048,0.7578125,0.5805635418754806,0.756115400489491
flowers102,convnext_tiny_in1k_gray,1,overall,6149,0.740608228980322,0.7323372771797073,0.7493402204156502
flowers102,convnext_tiny_in1k_gray,1,low,2048,0.82568359375,0.6068959203819645,0.7752329084221664
flowers102,convnext_tiny_in1k_gray,1,mid,2053,0.754992693619094,0.6489684399084674,0.7238281417719957
