dataset,model,seed,bin,n,acc,macro_f1,uar
cub200,vit_small_in1k,4,low,1930,0.778238341968912,0.7773384274598851,0.7963478330378453
cub200,vit_small_in1k,4,mid,1934,0.8174767321613237,0.8002022814715197,0.8077084910703333
cub200,vit_small_in1k,4,high,1930,0.8119170984455959,0.7550213952293325,0.7830586357030281
cub200,swin_tiny,0,overall,5794,0.8412150500517777,0.8402773072911409,0.8422531440907712
cub200,swin_tiny,0,low,1930,0.8139896373056995,0.8148143859723567,0.8348506080785808
cub200,swin_tiny,0,mid,1934,0.860392967942089,0.8474469708298519,0.8556902636836847
cub200,swin_tiny,0,high,1930,0.8492227979274611,0.7950723805369393,0.8216882378757896
cub200,swin_tiny,1,overall,5794,0.8451846738004832,0.8435831458325819,0.8467726754228962
cub200,swin_tiny,1,low,1930,0.8217616580310881,0.8150994510429547,0.838913931439975
cub200,swin_tiny,1,mid,1934,0.860392967942089,0.8437391296283684,0.8515231391415603
cub200,swin_tiny,1,high,1930,0.8533678756476684,0.8046032047812818,0.8366275338930982
cub200,swin_tiny,2,overall,5794,0.8496720745598896,0.8490276356894038,0.8515866263395461
cub200,swin_tiny,2,low,1930,0.8305699481865285,0.8255767129198595,0.8456508183329111
cub200,swin_tiny,2,mid,1934,0.8567735263702172,0.8441352334940916,0.8527475189284399
cub200,swin_tiny,2,high,1930,0.8616580310880829,0.8048006359844948,0.8311166320750504
cub200,swin_tiny,3,overall,5794,0.8489817052122886,0.8481309344898083,0.8509546068791907
cub200,swin_tiny,3,low,1930,0.8191709844559586,0.8216947629264806,0.8449069728218155
cub200,swin_tiny,3,mid,1934,0.8541882109617374,0.8395732153592478,0.8485999928434138
cub200,swin_tiny,3,high,1930,0.8735751295336788,0.8333418737393862,0.8539991520423657
cub200,swin_tiny,4,overall,5794,0.8488091128753883,0.8479545316310378,0.8510836160494687
cub200,swin_tiny,4,low,1930,0.8238341968911918,0.820615066596003,0.8433872192215063
cub200,swin_tiny,4,mid,1934,0.859358841778697,0.8432981208391035,0.8521763470447681
cub200,swin_tiny,4,high,1930,0.8632124352331606,0.8120455231587542,0.8390342026255356
cub200,convnext_tiny,0,overall,5794,0.8833275802554367,0.8832229166171043,0.8845561036936007
cub200,convnext_tiny,0,low,1930,0.8658031088082901,0.8615411220287195,0.882602615440361
cub200,convnext_tiny,0,mid,1934,0.8872802481902792,0.8743404563429954,0.8805850217034427
cub200,convnext_tiny,0,high,1930,0.8968911917098445,0.8623803257476413,0.8812031317911724
cub200,convnext_tiny,1,overall,5794,0.8897134967207456,0.8892189685160562,0.8911230761728868
cub200,convnext_tiny,1,low,1930,0.8673575129533678,0.8623273170542609,0.8810120521170355
