dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
cub200,resnet50,1,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3816016568864342,0.3770448591470557,0.3901868987944699
cub200,resnet50,1,quant_2,quant,2,5794,0.2233344839489126,0.2192556054151642,0.2267418189956263
cub200,resnet50,1,quant_4,quant,4,5794,0.5724887814981015,0.5688016418720103,0.5752174073270894
cub200,resnet50,1,quant_8,quant,8,5794,0.7335174318260269,0.7324880065702353,0.7357485818406673
cub200,resnet50,1,quant_16,quant,16,5794,0.7726958923023818,0.7719816408497638,0.774766509882623
cub200,resnet50,2,clean,clean,0,5794,0.7887469796341042,0.7891142798742316,0.7906928557194083
cub200,resnet50,2,grayscale,grayscale,,5794,0.3738350017259234,0.3441266975806265,0.3806380613265526
cub200,resnet50,2,hue_-0.500,hue,-0.5,5794,0.3779772178115291,0.3783530025208229,0.3861815888052375
cub200,resnet50,2,hue_-0.250,hue,-0.25,5794,0.3690024162927166,0.3616814344586203,0.3790327768067056
cub200,resnet50,2,hue_-0.083,hue,-0.083,5794,0.5310666206420435,0.5311252242349422,0.536852021424163
cub200,resnet50,2,hue_+0.083,hue,0.083,5794,0.5607525025888851,0.5581722186897671,0.5670902147030137
cub200,resnet50,2,hue_+0.250,hue,0.25,5794,0.3187780462547463,0.3083399955834411,0.3291576587809524
cub200,resnet50,2,hue_+0.500,hue,0.5,5794,0.3779772178115291,0.3783530025208229,0.3861815888052375
cub200,resnet50,2,shuffle_021,shuffle,"(0, 2, 1)",5794,0.46427338626165,0.4570015728563636,0.4723715662192739
cub200,resnet50,2,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4658267172937521,0.4542245969214654,0.4726967934351348
cub200,resnet50,2,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3438039351052813,0.3291735734496231,0.3534577802542372
cub200,resnet50,2,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3217121159820504,0.3177217339979716,0.3320405456473673
cub200,resnet50,2,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3774594408008284,0.3691479618611369,0.3864113582846715
cub200,resnet50,2,quant_2,quant,2,5794,0.1705212288574387,0.1590094227697283,0.1744247847610508
cub200,resnet50,2,quant_4,quant,4,5794,0.5730065585088022,0.5698899713133279,0.574773432189415
cub200,resnet50,2,quant_8,quant,8,5794,0.7233344839489126,0.7233449178997468,0.7255499590401152
cub200,resnet50,2,quant_16,quant,16,5794,0.7651018294787711,0.7658922389481458,0.7672302077136766
cub200,resnet50,3,clean,clean,0,5794,0.7856403175698999,0.7854495367604453,0.7876817789928142
cub200,resnet50,3,grayscale,grayscale,,5794,0.3702105626510183,0.3382904256474206,0.3764087174278329
cub200,resnet50,3,hue_-0.500,hue,-0.5,5794,0.3833275802554367,0.3890238344161766,0.3913574776063137
cub200,resnet50,3,hue_-0.250,hue,-0.25,5794,0.3793579565067311,0.3783553757499281,0.387456833870193
cub200,resnet50,3,hue_-0.083,hue,-0.083,5794,0.536416983085951,0.5306946811971851,0.5421738510998749
cub200,resnet50,3,hue_+0.083,hue,0.083,5794,0.5643769416637902,0.5608075382474031,0.5706531725695302
cub200,resnet50,3,hue_+0.250,hue,0.25,5794,0.340697273041077,0.3308096261594606,0.350394565053091
cub200,resnet50,3,hue_+0.500,hue,0.5,5794,0.3833275802554367,0.3890238344161766,0.3913574776063137
cub200,resnet50,3,shuffle_021,shuffle,"(0, 2, 1)",5794,0.4791163272350707,0.4782696123600992,0.486812806165051
cub200,resnet50,3,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4834311356575768,0.4692624748865971,0.4904954822270177
cub200,resnet50,3,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3524335519502934,0.3449051683826185,0.361318581262675
cub200,resnet50,3,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3403520883672765,0.3357621832991602,0.3490356934850542
cub200,resnet50,3,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3786675871591301,0.3756450880707165,0.3869495862014602
cub200,resnet50,3,quant_2,quant,2,5794,0.1769071453227476,0.1644582335794773,0.1796097198361461
cub200,resnet50,3,quant_4,quant,4,5794,0.5797376596479117,0.5744831251452912,0.5814744403427627
cub200,resnet50,3,quant_8,quant,8,5794,0.7380048325854333,0.7375941120507838,0.7410546905085295
cub200,resnet50,3,quant_16,quant,16,5794,0.7713151536071798,0.770369107466719,0.7735595248386812
cub200,resnet50,4,clean,clean,0,5794,0.7909906800138073,0.7906234681564023,0.7925398161338151
cub200,resnet50,4,grayscale,grayscale,,5794,0.3576113220573007,0.3321621237831687,0.3634725477082456
cub200,resnet50,4,hue_-0.500,hue,-0.5,5794,0.3784949948222298,0.3782092291410767,0.3861023419497932
cub200,resnet50,4,hue_-0.250,hue,-0.25,5794,0.3774594408008284,0.3730860322265938,0.3851669442121979
cub200,resnet50,4,hue_-0.083,hue,-0.083,5794,0.5246807041767345,0.5232063422616305,0.5301561884798293
cub200,resnet50,4,hue_+0.083,hue,0.083,5794,0.5802554366586123,0.5733195582703061,0.5863293015219553
cub200,resnet50,4,hue_+0.250,hue,0.25,5794,0.3417328270624784,0.3327118141756942,0.3514766701460657
cub200,resnet50,4,hue_+0.500,hue,0.5,5794,0.3784949948222298,0.3782092291410767,0.3861023419497932
cub200,resnet50,4,shuffle_021,shuffle,"(0, 2, 1)",5794,0.4722126337590611,0.467664162976951,0.4793456249796303
cub200,resnet50,4,shuffle_102,shuffle,"(1, 0, 2)",5794,0.489989644459786,0.4754690212336397,0.4969919144386713
cub200,resnet50,4,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3634794615119088,0.3518200067754153,0.3718096996304997
cub200,resnet50,4,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3332758025543665,0.3281453482702526,0.342775607188986
cub200,resnet50,4,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3848809112875388,0.3770743530213144,0.3930903986353564
cub200,resnet50,4,quant_2,quant,2,5794,0.2209181912323093,0.2145338226564363,0.225876035047423
cub200,resnet50,4,quant_4,quant,4,5794,0.5871591301346221,0.5858235009031424,0.5886869812307159
cub200,resnet50,4,quant_8,quant,8,5794,0.7376596479116327,0.7371851917539374,0.7397427974207743
cub200,resnet50,4,quant_16,quant,16,5794,0.7745944080082844,0.7753730467258114,0.7769939212476299
cub200,convnext_tiny_in1k,0,clean,clean,0,5794,0.8413876423886779,0.8409589345851981,0.8436565673506613
cub200,convnext_tiny_in1k,0,grayscale,grayscale,,5794,0.426475664480497,0.3747735930152713,0.4333118607612611
cub200,convnext_tiny_in1k,0,hue_-0.500,hue,-0.5,5794,0.4380393510528133,0.4450508894507899,0.4455932900599317
cub200,convnext_tiny_in1k,0,hue_-0.250,hue,-0.25,5794,0.4634104245771487,0.4428170360502272,0.4716582326136299
cub200,convnext_tiny_in1k,0,hue_-0.083,hue,-0.083,5794,0.5819813600276148,0.5784346608613088,0.5881374631707229
cub200,convnext_tiny_in1k,0,hue_+0.083,hue,0.083,5794,0.6240938902312737,0.6141978304643024,0.6296233411349603
cub200,convnext_tiny_in1k,0,hue_+0.250,hue,0.25,5794,0.4083534691059717,0.3908625852270525,0.4173992625600374
cub200,convnext_tiny_in1k,0,hue_+0.500,hue,0.5,5794,0.4380393510528133,0.4450508894507899,0.4455932900599317
cub200,convnext_tiny_in1k,0,shuffle_021,shuffle,"(0, 2, 1)",5794,0.5859509837763204,0.5667002791215368,0.5925265824755686
cub200,convnext_tiny_in1k,0,shuffle_102,shuffle,"(1, 0, 2)",5794,0.5524680704176734,0.5312746488254656,0.5587561994623266
cub200,convnext_tiny_in1k,0,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3954090438384536,0.3673833675769519,0.4049530061670242
cub200,convnext_tiny_in1k,0,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3774594408008284,0.3629296016605036,0.3862274299219577
cub200,convnext_tiny_in1k,0,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3985157059026579,0.3871811537822836,0.4063635210089483
cub200,convnext_tiny_in1k,0,quant_2,quant,2,5794,0.5058681394546082,0.5041651288710618,0.5109458472598416
cub200,convnext_tiny_in1k,0,quant_4,quant,4,5794,0.6095961339316535,0.6130603093437285,0.6133220990120698
cub200,convnext_tiny_in1k,0,quant_8,quant,8,5794,0.7625129444252675,0.7617132587330872,0.7656333618919432
cub200,convnext_tiny_in1k,0,quant_16,quant,16,5794,0.8211943389713496,0.8201695341065097,0.8234767781514014
cub200,convnext_tiny_in1k,1,clean,clean,0,5794,0.8332758025543666,0.8323011014707609,0.8350186066392175
cub200,convnext_tiny_in1k,1,grayscale,grayscale,,5794,0.4230238177424922,0.3689649398193985,0.429869151935474
cub200,convnext_tiny_in1k,1,hue_-0.500,hue,-0.5,5794,0.4325163962720055,0.4343969837153411,0.4401923050164981
cub200,convnext_tiny_in1k,1,hue_-0.250,hue,-0.25,5794,0.4382119433897135,0.4155475706794002,0.4468166281640597
cub200,convnext_tiny_in1k,1,hue_-0.083,hue,-0.083,5794,0.5669658267172938,0.5603667126353836,0.5737462446685005
cub200,convnext_tiny_in1k,1,hue_+0.083,hue,0.083,5794,0.6104590956161546,0.5985689661496406,0.6157412368873546
cub200,convnext_tiny_in1k,1,hue_+0.250,hue,0.25,5794,0.4231964100793924,0.4000706281106101,0.4322681952543075
cub200,convnext_tiny_in1k,1,hue_+0.500,hue,0.5,5794,0.4325163962720055,0.4343969837153411,0.4401923050164981
cub200,convnext_tiny_in1k,1,shuffle_021,shuffle,"(0, 2, 1)",5794,0.556437694166379,0.5327417463202039,0.5634684589129274
cub200,convnext_tiny_in1k,1,shuffle_102,shuffle,"(1, 0, 2)",5794,0.5667932343803935,0.5476685897074147,0.5740472795716226
cub200,convnext_tiny_in1k,1,shuffle_120,shuffle,"(1, 2, 0)",5794,0.3797031411805316,0.347518017790329,0.3890095153202152
cub200,convnext_tiny_in1k,1,shuffle_201,shuffle,"(2, 0, 1)",5794,0.3881601656886434,0.363393671134837,0.3972375342888639
cub200,convnext_tiny_in1k,1,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3867794269934415,0.3710835953125715,0.3955589095375255
cub200,convnext_tiny_in1k,1,quant_2,quant,2,5794,0.5091473938557128,0.5093459731077996,0.5140969060675917
cub200,convnext_tiny_in1k,1,quant_4,quant,4,5794,0.6320331377286849,0.6336572095225906,0.63569068120522
cub200,convnext_tiny_in1k,1,quant_8,quant,8,5794,0.7606144287193649,0.7586594373018404,0.7630283267063035
cub200,convnext_tiny_in1k,1,quant_16,quant,16,5794,0.8127373144632378,0.8112339928978765,0.8147401017572841
cub200,convnext_tiny_in1k,2,clean,clean,0,5794,0.840006903693476,0.8394778607940574,0.8422951691155549
cub200,convnext_tiny_in1k,2,grayscale,grayscale,,5794,0.4183638246461857,0.3716316819851944,0.4258502721549356
cub200,convnext_tiny_in1k,2,hue_-0.500,hue,-0.5,5794,0.4509837763203314,0.454614700730278,0.45915840045973
