dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
flowers102,resnet50,3,quant_16,quant,16,6149,0.807936249796715,0.803998308908801,0.8283684387791047
flowers102,resnet50,4,clean,clean,0,6149,0.8544478777036917,0.8475590511341855,0.8723776877050774
flowers102,resnet50,4,grayscale,grayscale,,6149,0.5223613595706619,0.4908519854829025,0.5584326223369251
flowers102,resnet50,4,hue_-0.500,hue,-0.5,6149,0.518783542039356,0.5035876624166818,0.5686495789457445
flowers102,resnet50,4,hue_-0.250,hue,-0.25,6149,0.5365100016262807,0.5232211884686022,0.5731642515194788
flowers102,resnet50,4,hue_-0.083,hue,-0.083,6149,0.776386404293381,0.7622583436108789,0.7855140769434645
flowers102,resnet50,4,hue_+0.083,hue,0.083,6149,0.7796389656854773,0.7697425107013308,0.7961169587582109
flowers102,resnet50,4,hue_+0.250,hue,0.25,6149,0.5813953488372093,0.5606817388075653,0.5945364865054688
flowers102,resnet50,4,hue_+0.500,hue,0.5,6149,0.518783542039356,0.5035876624166818,0.5686495789457445
flowers102,resnet50,4,shuffle_021,shuffle,"(0, 2, 1)",6149,0.671653927467881,0.6607712445297337,0.690412351747251
flowers102,resnet50,4,shuffle_102,shuffle,"(1, 0, 2)",6149,0.7236949097414214,0.7087194809918765,0.7488056658951363
flowers102,resnet50,4,shuffle_120,shuffle,"(1, 2, 0)",6149,0.516994633273703,0.4995129866220467,0.5515625160143465
flowers102,resnet50,4,shuffle_201,shuffle,"(2, 0, 1)",6149,0.5839973979508863,0.562467245681708,0.6003129632804297
flowers102,resnet50,4,shuffle_210,shuffle,"(2, 1, 0)",6149,0.539762563018377,0.528947687592642,0.5778887518714906
flowers102,resnet50,4,quant_2,quant,2,6149,0.0152870385428524,0.0085838880823014,0.0192407733601446
flowers102,resnet50,4,quant_4,quant,4,6149,0.5020328508700602,0.5039491326469239,0.5277882311085041
flowers102,resnet50,4,quant_8,quant,8,6149,0.6952349975605789,0.6994833046809708,0.7211086260347966
flowers102,resnet50,4,quant_16,quant,16,6149,0.7806147341031062,0.7765468158631035,0.8020562359355354
flowers102,convnext_tiny_in1k,0,clean,clean,0,6149,0.9323467230443976,0.929254105779574,0.9464474592806066
flowers102,convnext_tiny_in1k,0,grayscale,grayscale,,6149,0.6799479590177264,0.625404115549263,0.6858102968470348
flowers102,convnext_tiny_in1k,0,hue_-0.500,hue,-0.5,6149,0.7811026183119206,0.7702886353260149,0.7965972371308275
flowers102,convnext_tiny_in1k,0,hue_-0.250,hue,-0.25,6149,0.6588063099691006,0.6445310309408174,0.6839988990376462
flowers102,convnext_tiny_in1k,0,hue_-0.083,hue,-0.083,6149,0.8720117092210116,0.8586382977077062,0.8805481849287374
flowers102,convnext_tiny_in1k,0,hue_+0.083,hue,0.083,6149,0.8760774109611319,0.8755513093008055,0.892653754093642
flowers102,convnext_tiny_in1k,0,hue_+0.250,hue,0.25,6149,0.7397950886322979,0.7144344628766343,0.7430087107112687
flowers102,convnext_tiny_in1k,0,hue_+0.500,hue,0.5,6149,0.7811026183119206,0.7702886353260149,0.7965972371308275
flowers102,convnext_tiny_in1k,0,shuffle_021,shuffle,"(0, 2, 1)",6149,0.7801268498942917,0.7727561477754866,0.7923094339869511
flowers102,convnext_tiny_in1k,0,shuffle_102,shuffle,"(1, 0, 2)",6149,0.8389982110912343,0.8242758956783778,0.851721638444626
flowers102,convnext_tiny_in1k,0,shuffle_120,shuffle,"(1, 2, 0)",6149,0.6641730362660595,0.646225078659504,0.6839050894616004
