dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
cub200,S1,ResNet-50,resnet50,0,96,0.7241379310344828,0.034482758620689655,29,0.6896551724137931
cub200,S1,ResNet-50,resnet50,0,97,0.9,0.06666666666666667,30,0.8333333333333334
cub200,S1,ResNet-50,resnet50,0,98,0.8,0.4666666666666667,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,0,99,1.0,0.8666666666666667,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,100,1.0,1.0,20,0.0
cub200,S1,ResNet-50,resnet50,0,101,0.36666666666666664,0.4,30,-0.03333333333333338
cub200,S1,ResNet-50,resnet50,0,102,0.5,0.23333333333333334,30,0.26666666666666666
cub200,S1,ResNet-50,resnet50,0,103,0.6,0.4666666666666667,30,0.1333333333333333
cub200,S1,ResNet-50,resnet50,0,104,0.7368421052631579,0.9473684210526315,19,-0.21052631578947367
cub200,S1,ResNet-50,resnet50,0,105,0.9666666666666667,0.9333333333333333,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,106,0.5333333333333333,0.26666666666666666,30,0.26666666666666666
cub200,S1,ResNet-50,resnet50,0,107,0.8,0.8333333333333334,30,-0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,108,0.8666666666666667,0.0,30,0.8666666666666667
cub200,S1,ResNet-50,resnet50,0,109,0.9333333333333333,0.9,30,0.033333333333333326
cub200,S1,ResNet-50,resnet50,0,110,0.6666666666666666,0.13333333333333333,30,0.5333333333333333
cub200,S1,ResNet-50,resnet50,0,111,0.6,0.8666666666666667,30,-0.2666666666666667
cub200,S1,ResNet-50,resnet50,0,112,0.9,0.85,20,0.050000000000000044
cub200,S1,ResNet-50,resnet50,0,113,0.9,0.3333333333333333,30,0.5666666666666667
cub200,S1,ResNet-50,resnet50,0,114,0.5172413793103449,0.1724137931034483,29,0.3448275862068966
cub200,S1,ResNet-50,resnet50,0,115,0.7666666666666667,0.03333333333333333,30,0.7333333333333334
cub200,S1,ResNet-50,resnet50,0,116,0.5517241379310345,0.6206896551724138,29,-0.06896551724137934
