dataset,metric,contrast,diff,ci_lo,ci_hi,n
flowers102,clean_acc,ResNet-50 - ConvNeXt-T,-0.0804358432265409,-0.0881272073018837,-0.0727444791511981,5
flowers102,clean_acc,ResNet-50 - ViT-S,-0.0271588876240039,-0.0317347169776162,-0.0225830582703916,5
flowers102,clean_acc,ResNet-50 - Swin-T,-0.087298747763864,-0.0945223476245774,-0.0800751479031506,5
flowers102,clean_acc,ConvNeXt-T - ViT-S,0.053276955602537,0.0439579621344151,0.0625959490706589,5
flowers102,clean_acc,ConvNeXt-T - Swin-T,-0.006862904537323,-0.0151425032176055,0.0014166941429593,5
flowers102,clean_acc,ViT-S - Swin-T,-0.06013986013986,-0.0706861061503752,-0.0495936141293449,5
flowers102,CR,ResNet-50 - ConvNeXt-T,0.0968287526427061,0.054282315078562,0.1393751902068501,5
flowers102,CR,ResNet-50 - ViT-S,-0.1849081151406733,-0.2186529922348104,-0.1511632380465361,5
flowers102,CR,ResNet-50 - Swin-T,0.0660269962595544,0.0466375656169663,0.0854164269021426,5
flowers102,CR,ConvNeXt-T - ViT-S,-0.2817368677833795,-0.3000159979660326,-0.2634577376007263,5
flowers102,CR,ConvNeXt-T - Swin-T,-0.0308017563831516,-0.0902262600166111,0.0286227472503077,5
flowers102,CR,ViT-S - Swin-T,0.2509351114002277,0.203797457601675,0.2980727651987804,5
cub200,clean_acc,ResNet-50 - ConvNeXt-T,-0.0501898515705902,-0.0549466733388488,-0.0454330298023316,5
cub200,clean_acc,ResNet-50 - ViT-S,-0.007870210562651,-0.0108841792898696,-0.0048562418354323,5
cub200,clean_acc,ResNet-50 - Swin-T,-0.0595098377632033,-0.0642690725695962,-0.0547506029568103,5
cub200,clean_acc,ConvNeXt-T - ViT-S,0.0423196410079392,0.0352926365992634,0.049346645416615,5
cub200,clean_acc,ConvNeXt-T - Swin-T,-0.009319986192613,-0.0161843339687012,-0.0024556384165248,5
cub200,clean_acc,ViT-S - Swin-T,-0.0516396272005523,-0.058559614301577,-0.0447196400995275,5
cub200,CR,ResNet-50 - ConvNeXt-T,-0.0003451846738004,-0.0118807084980901,0.0111903391504891,5
cub200,CR,ResNet-50 - ViT-S,-0.0811183983431135,-0.0978846811699153,-0.0643521155163118,5
cub200,CR,ResNet-50 - Swin-T,-0.0137038315498791,-0.0490537383366271,0.0216460752368687,5
cub200,CR,ConvNeXt-T - ViT-S,-0.080773213669313,-0.0913708602386409,-0.0701755670999852,5
cub200,CR,ConvNeXt-T - Swin-T,-0.0133586468760786,-0.0388225217344884,0.012105227982331,5
cub200,CR,ViT-S - Swin-T,0.0674145667932344,0.0358806718776563,0.0989484617088124,5
