dataset,arm,backbone,pretrain,n_seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd,uar_mean,uar_sd
flowers102,resnet50,ResNet-50,a1_in1k,5,0.8491787282484957,0.0030890772666993,0.8416419881556259,0.0043422420469953,0.8691862337897606,0.0029047525362077
flowers102,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.9296145714750365,0.0053672190866662,0.9283338641196948,0.004945320071265,0.9446014991327184,0.0037545232955227
flowers102,vit_small_in1k,ViT-S,augreg_in1k,5,0.8763376158724997,0.0054832435876757,0.8734724120897042,0.0049630605721342,0.8964843261129744,0.0039503279592851
flowers102,swin_tiny,Swin-T,ms_in1k,5,0.9364774760123596,0.0031777042073058,0.9348380000271912,0.0015374265337059,0.9491370512698104,0.0009134603094778
cub200,resnet50,ResNet-50,a1_in1k,5,0.7872626855367622,0.0029049910345075,0.7872817550903617,0.0030510252900049,0.7891426568601941,0.0028035380899237
cub200,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.8374525371073525,0.0034071143685941,0.8368180960887969,0.0037065835251431,0.8395109180754687,0.003655700755181
cub200,vit_small_in1k,ViT-S,augreg_in1k,5,0.7951328960994132,0.0052491909995669,0.7935687318946191,0.0057179165464266,0.7966601726496818,0.0053875595569744
cub200,swin_tiny,Swin-T,ms_in1k,5,0.8467725232999654,0.003565191238444,0.8457947109867945,0.0037385602702181,0.8485301337563745,0.0040071731841595
