dataset,backbone,regime,tag,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,ConvNeXt-T,equalized,fb_in1k,0.9296145714750365,0.0053672190866662,0.67601235973329,0.0220468726591694,0.2536022117417466,0.0215405774167851
flowers102,ConvNeXt-T,non_equalized,in12k_ft_in1k,0.9898194828427386,0.0011928522244847,0.8273865669214506,0.0410213953136625,0.162432915921288,0.0413802002003255
flowers102,ViT-S,equalized,augreg_in1k,0.8763376158724997,0.0054832435876757,0.3409985363473735,0.0113201286165891,0.5353390795251259,0.0141903591447633
flowers102,ViT-S,non_equalized,augreg_in21k_ft_in1k,0.96858025695235,0.006626370451207,0.7140998536347374,0.0492555025550337,0.2544804033176125,0.0466214428052414
cub200,ConvNeXt-T,equalized,fb_in1k,0.8374525371073525,0.0034071143685941,0.4210907835692095,0.0037085270099005,0.4163617535381429,0.0041808690172287
cub200,ConvNeXt-T,non_equalized,in12k_ft_in1k,0.8866068346565413,0.0027370989863917,0.5269589230238177,0.0084096933389586,0.3596479116327235,0.0091509752597194
cub200,ViT-S,equalized,augreg_in1k,0.7951328960994132,0.0052491909995669,0.2979979288919571,0.0092804297419897,0.497134967207456,0.0108661920318276
cub200,ViT-S,non_equalized,augreg_in21k_ft_in1k,0.8498446668967897,0.0030363500320606,0.4272350707628581,0.0094363982240133,0.4226095961339317,0.0111148660959278
