dataset,bin_scope,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
cub200,whole image,Swin-T,mid,5,0.8582213029989658,0.002696671108667,0.4113753877973113,0.0254797228754327,0.4468459152016546,0.0251677500541681
cub200,whole image,Swin-T,high,5,0.8602072538860103,0.0094508112898212,0.3183419689119171,0.0165503291099649,0.5418652849740934,0.0192910398536922
flowers102,foreground,ResNet-50,low,5,0.85654296875,0.0067957103213698,0.6908203125,0.0141828683695502,0.16572265625,0.0100638070531158
flowers102,foreground,ResNet-50,mid,5,0.8487092060399416,0.0041129725928075,0.4969313200194836,0.0195608554430269,0.3517778860204579,0.0182135960153468
flowers102,foreground,ResNet-50,high,5,0.84228515625,0.0035040771714861,0.30849609375,0.0258613959038506,0.5337890625,0.0263658311283074
flowers102,foreground,ConvNeXt-T,low,5,0.941015625,0.0091960355592681,0.82470703125,0.0228920081440059,0.11630859375,0.0146622656085571
flowers102,foreground,ConvNeXt-T,mid,5,0.9320993667803216,0.0076443974077367,0.6781295664880662,0.0157097572881115,0.2539698002922552,0.0121265381273268
flowers102,foreground,ConvNeXt-T,high,5,0.91572265625,0.0065927010375273,0.5251953125,0.0534579892502987,0.39052734375,0.0539627000767451
flowers102,foreground,ViT-S,low,5,0.89404296875,0.0044618327349846,0.49130859375,0.0204711586503259,0.402734375,0.0172957737958939
flowers102,foreground,ViT-S,mid,5,0.8791037506088651,0.0108666297764704,0.3240136385776911,0.0196002358927762,0.5550901120311739,0.0276284696654743
flowers102,foreground,ViT-S,high,5,0.855859375,0.0060535060591288,0.20771484375,0.0321090869008897,0.64814453125,0.0318069419577182
flowers102,foreground,Swin-T,low,5,0.94970703125,0.0018593196059238,0.7984375,0.023293114013833,0.15126953125,0.0214466109864177
flowers102,foreground,Swin-T,mid,5,0.9413541159279104,0.0051387635245603,0.6640038967364832,0.0264724564263662,0.2773502191914271,0.0310453847888545
flowers102,foreground,Swin-T,high,5,0.918359375,0.0065908925884363,0.49375,0.0491813396391474,0.424609375,0.0513631492738959
cub200,foreground,ResNet-50,low,5,0.7472538860103627,0.003160197032534,0.4818652849740932,0.008043613832259,0.2653886010362694,0.0108090402573308
cub200,foreground,ResNet-50,mid,5,0.8012409513960701,0.0037214176247045,0.3884177869700104,0.0128144047206333,0.4128231644260599,0.0128571038997531
cub200,foreground,ResNet-50,high,5,0.8132642487046631,0.0064673507882404,0.2434196891191709,0.0058666030485878,0.5698445595854922,0.0119811300712678
cub200,foreground,ConvNeXt-T,low,5,0.8042487046632125,0.0052123425243354,0.5699481865284974,0.0079597365262887,0.234300518134715,0.0047261157517062
cub200,foreground,ConvNeXt-T,mid,5,0.8505687693898656,0.0072388831437435,0.4434332988624612,0.0060255045013266,0.4071354705274044,0.0047754911640202
cub200,foreground,ConvNeXt-T,high,5,0.8575129533678757,0.0043195160623142,0.2498445595854922,0.0062327105217391,0.6076683937823835,0.0072111993461997
cub200,foreground,ViT-S,low,5,0.7577202072538861,0.0084869770410958,0.421139896373057,0.0110728188966166,0.336580310880829,0.0137017000234439
cub200,foreground,ViT-S,mid,5,0.8107549120992761,0.0047950457577537,0.3078593588417787,0.0083422003204728,0.5028955532574975,0.0101296867497388
cub200,foreground,ViT-S,high,5,0.8168911917098445,0.0069669373322162,0.1649740932642486,0.0114787597977599,0.6519170984455959,0.012908731382879
cub200,foreground,Swin-T,low,5,0.8126424870466321,0.0062884565485798,0.5439378238341968,0.0213330603936113,0.2687046632124352,0.0198405683292649
cub200,foreground,Swin-T,mid,5,0.858221302998966,0.001842660773651,0.4389865563598759,0.0254991272097992,0.41923474663909,0.0249195439579664
cub200,foreground,Swin-T,high,5,0.8694300518134715,0.0060756680826728,0.2681865284974093,0.0173424263567601,0.6012435233160621,0.0179060340967886
