dataset,arm,backbone,pretrain,n_seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd,uar_mean,uar_sd
flowers102,resnet50,ResNet-50,a1_in1k,5,0.8491787282484957,0.003089077266699313,0.8416419881556259,0.004342242046995331,0.8691862337897606,0.002904752536207718
flowers102,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.9296145714750365,0.005367219086666247,0.9283338641196949,0.00494532007126505,0.9446014991327185,0.003754523295522702
flowers102,vit_small_in1k,ViT-S,augreg_in1k,5,0.8763376158724997,0.005483243587675783,0.8734724120897042,0.004963060572134277,0.8964843261129744,0.003950327959285192
flowers102,swin_tiny,Swin-T,ms_in1k,5,0.9364774760123596,0.0031777042073058244,0.9348380000271911,0.0015374265337059153,0.9491370512698103,0.0009134603094778336
