dataset,backbone,rgb_rgb_mean,rgb_rgb_sd,rgb_gray_mean,rgb_gray_sd,gray_gray_mean,gray_gray_sd,residual
flowers102,ResNet-50,0.8491787282484957,0.003089077266699313,0.49874776386404296,0.01730992271281907,0.8015287038542853,0.002103504655001435,0.0476500243942104
flowers102,ConvNeXt-T,0.9296145714750365,0.005367219086666247,0.67601235973329,0.0220468726591694,0.9089933322491461,0.002081385169071534,0.02062123922589032
flowers102,ViT-S,0.8763376158724997,0.005483243587675783,0.34099853634737354,0.01132012861658913,0.8413400552935437,0.004418877285687778,0.03499756057895598
flowers102,Swin-T,0.9364774760123596,0.0031777042073058244,0.6520735078874613,0.0248973961159067,0.9102943568059848,0.005188319713356615,0.02618311920637484
cub200,ResNet-50,0.7872626855367622,0.0029049910345075513,0.37124611667241975,0.008274538160419799,0.6498446668967899,0.003970374079257347,0.13741801863997227
cub200,ConvNeXt-T,0.8374525371073525,0.003407114368594137,0.4210907835692095,0.003708527009900555,0.7396617190196755,0.0037785504367256664,0.09779081808767698
cub200,ViT-S,0.7951328960994132,0.005249190999566993,0.29799792889195714,0.009280429741989756,0.6165343458750432,0.012297370539479952,0.17859855022437
cub200,Swin-T,0.8467725232999654,0.0035651912384440567,0.4170521228857439,0.020501688604875303,0.7309975837072834,0.0015075918399670347,0.11577493959268204
