dataset,model,n_seed,mean,sd,vmin,vmax
flowers102,ResNet-50,5,0.8491787282484957,0.003089077266699313,0.8464791022930558,0.8544478777036917
flowers102,ConvNeXt-T,5,0.9296145714750365,0.005367219086666247,0.9216132704504798,0.9359245405757034
flowers102,ViT-S,5,0.8763376158724997,0.005483243587675783,0.8710359408033826,0.8830704179541389
flowers102,Swin-T,5,0.9364774760123596,0.0031777042073058244,0.9333224914620264,0.9399902423158236
cub200,ResNet-50,5,0.7872626855367622,0.0029049910345075513,0.7833966171901967,0.7909906800138073
cub200,ConvNeXt-T,5,0.8374525371073525,0.003407114368594137,0.8332758025543666,0.8413876423886779
cub200,ViT-S,5,0.7951328960994132,0.005249190999566993,0.7884017949603037,0.8025543665861236
cub200,Swin-T,5,0.8467725232999654,0.0035651912384440567,0.8412150500517777,0.8496720745598896
