dataset,id,backbone,n_class,CR_mean,CR_median,CR_sd,CR_min,CR_p25,CR_p75,CR_max,n_class_CR_le0,top1_class,top1_CR,bottom1_class,bottom1_CR
flowers102,S1,ResNet-50,102,0.3401814395047502,0.28418604651162793,0.2894237449819021,-0.047272727272727244,0.07828054298642534,0.5396647917989659,0.9765957446808511,5,57,0.9765957446808511,35,-0.047272727272727244
flowers102,S2,ConvNeXt-T,102,0.2612352996568358,0.1808045977011494,0.26163710159721953,-0.16470588235294115,0.058198051948051964,0.4334165154264973,0.9238095238095237,8,15,0.9238095238095237,50,-0.16470588235294115
flowers102,S3,ViT-S,102,0.5549763372476697,0.5786796536796537,0.2664575064234918,-0.008000000000000007,0.35446570972886765,0.7534798534798535,0.9862068965517242,1,99,0.9862068965517242,9,-0.008000000000000007
flowers102,S4,Swin-T,102,0.28405988144809846,0.22404761904761902,0.24910107057562883,2.2204460492503132e-17,0.07245147325792485,0.4542207792207792,0.8844444444444445,0,4,0.8844444444444445,3,2.2204460492503132e-17
cub200,S1,ResNet-50,200,0.41207913357016573,0.35000000000000003,0.3105066250963842,-0.22000000000000006,0.15833333333333333,0.6866666666666666,0.9866666666666667,12,69,0.9866666666666667,111,-0.22000000000000006
cub200,S2,ConvNeXt-T,200,0.4112960230580447,0.2982758620689655,0.34749888311137483,-0.12631578947368421,0.1,0.7683333333333333,1.0,15,69,1.0,104,-0.12631578947368421
cub200,S3,ViT-S,200,0.49373958576632376,0.4870629370629371,0.31866561172652613,-0.26315789473684215,0.22568965517241377,0.795,0.9933333333333334,10,69,0.9933333333333334,104,-0.26315789473684215
cub200,S4,Swin-T,200,0.42504961465496466,0.36333333333333334,0.3346140634817616,-0.2066666666666667,0.1383333333333333,0.7416666666666667,1.0,15,69,1.0,111,-0.2066666666666667
