dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,34,30,5,0.9800000000000001,0.018257418583505533,0.37333333333333335,0.0760116950066092,0.6066666666666667,0.07958224257542215
cub200,S1,ResNet-50,resnet50,35,30,5,0.9800000000000001,0.018257418583505533,0.8400000000000001,0.0894427190999916,0.13999999999999999,0.1038160766826496
cub200,S1,ResNet-50,resnet50,36,29,5,0.5793103448275863,0.06632891055748738,0.44827586206896547,0.08791412954470318,0.13103448275862067,0.12994099090632252
cub200,S1,ResNet-50,resnet50,37,30,5,0.6799999999999999,0.03800584750330459,0.026666666666666665,0.04346134936801766,0.6533333333333333,0.06912147117775906
cub200,S1,ResNet-50,resnet50,38,29,5,0.5310344827586206,0.057700691485108625,0.23448275862068962,0.07475683927130622,0.29655172413793107,0.0993438640750892
cub200,S1,ResNet-50,resnet50,39,30,5,0.5533333333333333,0.05577733510227169,0.3866666666666666,0.10697871023920809,0.16666666666666666,0.08164965809277262
cub200,S1,ResNet-50,resnet50,40,30,5,0.9,0.033333333333333326,0.6866666666666666,0.050552502960343706,0.21333333333333337,0.07302967433402217
cub200,S1,ResNet-50,resnet50,41,30,5,0.9133333333333333,0.029814239699997188,0.0,0.0,0.9133333333333333,0.029814239699997188
cub200,S1,ResNet-50,resnet50,42,29,5,0.44827586206896547,0.04876598490941709,0.10344827586206898,0.05452202862359275,0.3448275862068965,0.09443492370778728
cub200,S1,ResNet-50,resnet50,43,30,5,0.86,0.04346134936801765,0.72,0.03800584750330462,0.14000000000000007,0.036514837167011045
cub200,S1,ResNet-50,resnet50,44,30,5,0.6399999999999999,0.04346134936801765,0.7133333333333334,0.07673909622147562,-0.07333333333333339,0.04944132324730446
cub200,S1,ResNet-50,resnet50,45,30,5,0.9333333333333333,0.0,0.76,0.08628119403696527,0.17333333333333337,0.08628119403696527
cub200,S1,ResNet-50,resnet50,46,30,5,0.9199999999999999,0.038005847503304595,0.013333333333333332,0.018257418583505537,0.9066666666666666,0.027888667551135844
cub200,S1,ResNet-50,resnet50,47,30,5,0.96,0.014907119849998596,0.2866666666666667,0.07673909622147557,0.6733333333333335,0.06831300510639729
cub200,S1,ResNet-50,resnet50,48,30,5,0.6599999999999999,0.06831300510639735,0.24666666666666667,0.09888264649460882,0.4133333333333333,0.10697871023920809
cub200,S1,ResNet-50,resnet50,49,30,5,0.6599999999999999,0.027888667551135848,0.37333333333333335,0.13824294235551812,0.2866666666666666,0.14259499757471625
