dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,S1,ResNet-50,resnet50,30,32,5,0.83125,0.01711632992203644,0.26875,0.14757148691396993,0.5625,0.14490028899212037
flowers102,S1,ResNet-50,resnet50,31,25,5,0.808,0.05215361924162118,0.8240000000000001,0.10807404868885037,-0.015999999999999993,0.12837445228704972
flowers102,S1,ResNet-50,resnet50,32,26,5,0.9153846153846154,0.03217923178977217,0.876923076923077,0.04213250442347432,0.03846153846153848,0.07195494974565275
flowers102,S1,ResNet-50,resnet50,33,20,5,0.99,0.022360679774997918,0.71,0.10839741694339401,0.27999999999999997,0.09746794344808964
flowers102,S1,ResNet-50,resnet50,34,23,5,0.9304347826086957,0.09015844066664225,0.9130434782608695,0.05324977701702562,0.017391304347826098,0.0583322081086902
flowers102,S1,ResNet-50,resnet50,35,55,5,0.8327272727272728,0.04706246947470827,0.8799999999999999,0.016262312563634838,-0.047272727272727244,0.037702620642413996
flowers102,S1,ResNet-50,resnet50,36,88,5,0.9863636363636363,0.005081972676135881,0.9363636363636363,0.04297197818452056,0.05,0.039853813447159527
flowers102,S1,ResNet-50,resnet50,37,36,5,0.9388888888888889,0.036217791140014735,0.85,0.04648111258522639,0.08888888888888886,0.06631853547951845
flowers102,S1,ResNet-50,resnet50,38,21,5,0.6190476190476191,0.07529232524210426,0.4,0.1800730514398956,0.21904761904761907,0.18007305143989558
flowers102,S1,ResNet-50,resnet50,39,47,5,0.7531914893617021,0.04661468574512051,0.43404255319148943,0.10911388429751565,0.3191489361702128,0.08101886282833946
flowers102,S1,ResNet-50,resnet50,40,107,5,0.908411214953271,0.020261199428671776,0.5906542056074766,0.16016521298142186,0.3177570093457944,0.16665938785165424
flowers102,S1,ResNet-50,resnet50,41,39,5,0.9282051282051282,0.05254846546645947,0.19487179487179487,0.10817960569091789,0.7333333333333334,0.12243421934680326
flowers102,S1,ResNet-50,resnet50,42,110,5,0.5763636363636364,0.041460924549059565,0.22545454545454544,0.100288839058339,0.3509090909090909,0.08686457589520913
flowers102,S1,ResNet-50,resnet50,43,73,5,0.9671232876712329,0.015618841439714207,0.4767123287671232,0.12973984101426386,0.4904109589041096,0.1256993944871722
flowers102,S1,ResNet-50,resnet50,44,20,5,0.8800000000000001,0.04472135954999579,0.8300000000000001,0.057008771254956896,0.049999999999999975,0.0790569415042095
flowers102,S1,ResNet-50,resnet50,45,176,5,0.8693181818181819,0.026345507089476423,0.0011363636363636363,0.002540986338067943,0.8681818181818182,0.024239464781479
flowers102,S1,ResNet-50,resnet50,46,47,5,1.0,0.0,0.20425531914893616,0.16245624824528573,0.7957446808510639,0.16245624824528576
flowers102,S1,ResNet-50,resnet50,47,51,5,0.968627450980392,0.01753778805882186,0.06666666666666667,0.056489648199560524,0.9019607843137255,0.04598446823356304
flowers102,S1,ResNet-50,resnet50,48,29,5,1.0,0.0,0.9379310344827587,0.04496001658760452,0.06206896551724137,0.04496001658760452
flowers102,S1,ResNet-50,resnet50,49,72,5,0.9361111111111111,0.034860834438919845,0.35277777777777775,0.0515949322805742,0.5833333333333333,0.07733006059486146
flowers102,S1,ResNet-50,resnet50,50,238,5,0.5428571428571429,0.01555189539774936,0.4798319327731092,0.12102736779499297,0.06302521008403363,0.11024909044875564
flowers102,S1,ResNet-50,resnet50,51,65,5,0.9784615384615385,0.017541160386140574,0.9015384615384615,0.031902217466658056,0.07692307692307694,0.028781979898261076
