dataset,id,backbone,condition,kind,param,acc_mean,acc_sd,n_seed
flowers102,S4,Swin-T,quant_8,quant,8,0.8914945519596682,0.005811991385116786,5
flowers102,S4,Swin-T,shuffle_021,shuffle,"(0, 2, 1)",0.6777362172711009,0.026630464333913476,5
flowers102,S4,Swin-T,shuffle_102,shuffle,"(1, 0, 2)",0.8008781915758659,0.02297451752717483,5
flowers102,S4,Swin-T,shuffle_120,shuffle,"(1, 2, 0)",0.5503984387705317,0.024625563096901205,5
flowers102,S4,Swin-T,shuffle_201,shuffle,"(2, 0, 1)",0.6600097576841764,0.015520802414557267,5
flowers102,S4,Swin-T,shuffle_210,shuffle,"(2, 1, 0)",0.6907139372255651,0.024023694551456247,5
cub200,S1,ResNet-50,clean,clean,0,0.7872626855367622,0.0029049910345075513,5
cub200,S1,ResNet-50,grayscale,grayscale,,0.37124611667241975,0.008274538160419799,5
cub200,S1,ResNet-50,hue_+0.083,hue,0.083,0.5676216775975147,0.00743690746673236,5
cub200,S1,ResNet-50,hue_+0.250,hue,0.25,0.3379357956506731,0.013674607503877365,5
cub200,S1,ResNet-50,hue_+0.500,hue,0.5,0.3820503969623748,0.0036050734345284287,5
cub200,S1,ResNet-50,hue_-0.083,hue,-0.083,0.5351743182602693,0.007916139021874326,5
cub200,S1,ResNet-50,hue_-0.250,hue,-0.25,0.37921988263721085,0.00735433749318833,5
cub200,S1,ResNet-50,hue_-0.500,hue,-0.5,0.3820503969623748,0.0036050734345284287,5
cub200,S1,ResNet-50,quant_16,quant,16,0.7703831549879185,0.0037607707835594813,5
cub200,S1,ResNet-50,quant_2,quant,2,0.2003451846738004,0.02492313424484884,5
cub200,S1,ResNet-50,quant_4,quant,4,0.5787021056265101,0.006113034431627507,5
cub200,S1,ResNet-50,quant_8,quant,8,0.7316189161201242,0.006819035645543151,5
cub200,S1,ResNet-50,shuffle_021,shuffle,"(0, 2, 1)",0.4803244735933724,0.01276833395801288,5
cub200,S1,ResNet-50,shuffle_102,shuffle,"(1, 0, 2)",0.4761822575077666,0.010869207106547325,5
cub200,S1,ResNet-50,shuffle_120,shuffle,"(1, 2, 0)",0.3559544356230583,0.008346762413830776,5
cub200,S1,ResNet-50,shuffle_201,shuffle,"(2, 0, 1)",0.3335519502934069,0.01147680642997501,5
cub200,S1,ResNet-50,shuffle_210,shuffle,"(2, 1, 0)",0.38073869520193304,0.002875100319115938,5
cub200,S2,ConvNeXt-T,clean,clean,0,0.8374525371073525,0.003407114368594137,5
cub200,S2,ConvNeXt-T,grayscale,grayscale,,0.4210907835692095,0.003708527009900555,5
cub200,S2,ConvNeXt-T,hue_+0.083,hue,0.083,0.6102865032792544,0.010843826953710585,5
cub200,S2,ConvNeXt-T,hue_+0.250,hue,0.25,0.41353123921297896,0.012322536872422383,5
cub200,S2,ConvNeXt-T,hue_+0.500,hue,0.5,0.4304452882292026,0.016144073527571332,5
cub200,S2,ConvNeXt-T,hue_-0.083,hue,-0.083,0.5721781152916809,0.009923984331333716,5
cub200,S2,ConvNeXt-T,hue_-0.250,hue,-0.25,0.44639282015878495,0.011352850519989709,5
cub200,S2,ConvNeXt-T,hue_-0.500,hue,-0.5,0.4304452882292026,0.016144073527571332,5
cub200,S2,ConvNeXt-T,quant_16,quant,16,0.8159475319295822,0.004171953433624577,5
cub200,S2,ConvNeXt-T,quant_2,quant,2,0.49955125992405935,0.009605348917966754,5
cub200,S2,ConvNeXt-T,quant_4,quant,4,0.6245426303072144,0.009756887676888495,5
cub200,S2,ConvNeXt-T,quant_8,quant,8,0.7623403520883673,0.0032104030441384487,5
cub200,S2,ConvNeXt-T,shuffle_021,shuffle,"(0, 2, 1)",0.5713151536071799,0.01060663815737948,5
cub200,S2,ConvNeXt-T,shuffle_102,shuffle,"(1, 0, 2)",0.5500517777010702,0.017585795614754506,5
cub200,S2,ConvNeXt-T,shuffle_120,shuffle,"(1, 2, 0)",0.3853641698308595,0.008116795759865056,5
cub200,S2,ConvNeXt-T,shuffle_201,shuffle,"(2, 0, 1)",0.3825681739730756,0.007929486277711428,5
cub200,S2,ConvNeXt-T,shuffle_210,shuffle,"(2, 1, 0)",0.3887124611667242,0.0057156474220912195,5
cub200,S3,ViT-S,clean,clean,0,0.7951328960994132,0.005249190999566993,5
cub200,S3,ViT-S,grayscale,grayscale,,0.29799792889195714,0.009280429741989756,5
cub200,S3,ViT-S,hue_+0.083,hue,0.083,0.5166033828098033,0.006123258939832698,5
cub200,S3,ViT-S,hue_+0.250,hue,0.25,0.26475664480497063,0.0109211543110503,5
cub200,S3,ViT-S,hue_+0.500,hue,0.5,0.31891612012426646,0.017821945214148798,5
cub200,S3,ViT-S,hue_-0.083,hue,-0.083,0.4802209181912323,0.014440420344686395,5
cub200,S3,ViT-S,hue_-0.250,hue,-0.25,0.25982050396962375,0.0061441417489466015,5
cub200,S3,ViT-S,hue_-0.500,hue,-0.5,0.31891612012426646,0.017821945214148798,5
cub200,S3,ViT-S,quant_16,quant,16,0.7876423886779427,0.005197293763235199,5
cub200,S3,ViT-S,quant_2,quant,2,0.03534691059716944,0.002901913169223965,5
cub200,S3,ViT-S,quant_4,quant,4,0.5395581636175354,0.01304951016818448,5
cub200,S3,ViT-S,quant_8,quant,8,0.7415947531929582,0.007090373845916714,5
cub200,S3,ViT-S,shuffle_021,shuffle,"(0, 2, 1)",0.376423886779427,0.008536780584754051,5
cub200,S3,ViT-S,shuffle_102,shuffle,"(1, 0, 2)",0.4253710735243355,0.007245384367699815,5
cub200,S3,ViT-S,shuffle_120,shuffle,"(1, 2, 0)",0.2496030376251294,0.006153588504173777,5
