dataset,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
cub200,ResNet-50,low,5,0.7604145077720206,0.002989956071762413,0.46352331606217617,0.008911314595852312,0.2968911917098445,0.010825172236153485
cub200,ResNet-50,mid,5,0.7998965873836609,0.00424810670247027,0.3603929679420889,0.0073760820153500935,0.43950361944157185,0.009176959332626076
cub200,ResNet-50,high,5,0.8014507772020727,0.006809086632538646,0.2898445595854922,0.009466421920505107,0.5116062176165804,0.014830786003521236
cub200,ConvNeXt-T,low,5,0.8124352331606218,0.004634337777201641,0.5426943005181347,0.010104291196445488,0.269740932642487,0.0062132972907445365
cub200,ConvNeXt-T,mid,5,0.8522233712512927,0.0070080647923805185,0.4132368148914168,0.00608950176646838,0.43898655635987593,0.008240629498712125
cub200,ConvNeXt-T,high,5,0.8476683937823835,0.0053470900105052665,0.3073575129533679,0.005645053347135699,0.5403108808290155,0.007248332441083369
cub200,ViT-S,low,5,0.7682901554404145,0.010155969109638651,0.39575129533678755,0.015236156344254985,0.37253886010362697,0.01613721399212171
cub200,ViT-S,mid,5,0.8111685625646328,0.004616073241089074,0.29183040330920373,0.007235188893365802,0.5193381592554293,0.008937865744087664
cub200,ViT-S,high,5,0.8059067357512953,0.005404520128665408,0.20642487046632124,0.013278813247371072,0.599481865284974,0.014368315672395911
cub200,Swin-T,low,5,0.8218652849740933,0.006102122495518043,0.5214507772020726,0.02075645340278429,0.3004145077720208,0.018367857377746915
cub200,Swin-T,mid,5,0.8582213029989658,0.0026966711086670765,0.4113753877973113,0.02547972287543273,0.4468459152016546,0.025167750054168166
cub200,Swin-T,high,5,0.8602072538860103,0.009450811289821275,0.31834196891191713,0.01655032910996491,0.5418652849740934,0.01929103985369225
