dataset,backbone,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,ResNet-50,0.8491787282484957,0.003089077266699313,0.49874776386404296,0.01730992271281907,0.3504309643844528,0.0150483259997933
flowers102,ConvNeXt-T,0.9296145714750365,0.005367219086666247,0.67601235973329,0.0220468726591694,0.25360221174174663,0.02154057741678515
flowers102,ViT-S,0.8763376158724997,0.005483243587675783,0.34099853634737354,0.01132012861658913,0.5353390795251259,0.01419035914476339
flowers102,Swin-T,0.9364774760123596,0.0031777042073058244,0.6520735078874613,0.0248973961159067,0.2844039681248983,0.027804739409324798
cub200,ResNet-50,0.7872626855367622,0.0029049910345075513,0.37124611667241975,0.008274538160419799,0.4160165688643424,0.010692788264554252
cub200,ConvNeXt-T,0.8374525371073525,0.003407114368594137,0.4210907835692095,0.003708527009900555,0.4163617535381429,0.004180869017228751
cub200,ViT-S,0.7951328960994132,0.005249190999566993,0.29799792889195714,0.009280429741989756,0.497134967207456,0.01086619203182767
cub200,Swin-T,0.8467725232999654,0.0035651912384440567,0.4170521228857439,0.020501688604875303,0.4297204004142216,0.019469073523011034
