dataset,backbone,regime,tag,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,ConvNeXt-T,equalized,fb_in1k,0.9296145714750365,0.005367219086666247,0.67601235973329,0.0220468726591694,0.25360221174174663,0.02154057741678515
flowers102,ConvNeXt-T,non_equalized,in12k_ft_in1k,0.9898194828427386,0.0011928522244847644,0.8273865669214506,0.041021395313662584,0.162432915921288,0.041380200200325574
flowers102,ViT-S,equalized,augreg_in1k,0.8763376158724997,0.005483243587675783,0.34099853634737354,0.01132012861658913,0.5353390795251259,0.01419035914476339
flowers102,ViT-S,non_equalized,augreg_in21k_ft_in1k,0.96858025695235,0.00662637045120702,0.7140998536347374,0.049255502555033706,0.25448040331761257,0.04662144280524141
cub200,ConvNeXt-T,equalized,fb_in1k,0.8374525371073525,0.003407114368594137,0.4210907835692095,0.003708527009900555,0.4163617535381429,0.004180869017228751
cub200,ConvNeXt-T,non_equalized,in12k_ft_in1k,0.8866068346565413,0.0027370989863917464,0.5269589230238177,0.008409693338958649,0.3596479116327235,0.00915097525971944
cub200,ViT-S,equalized,augreg_in1k,0.7951328960994132,0.005249190999566993,0.29799792889195714,0.009280429741989756,0.497134967207456,0.01086619203182767
cub200,ViT-S,non_equalized,augreg_in21k_ft_in1k,0.8498446668967897,0.003036350032060624,0.4272350707628581,0.009436398224013381,0.4226095961339317,0.011114866095927834
