dataset,arm,backbone,pretrain,n_seeds,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,resnet50,ResNet-50,a1_in1k,5,0.8491787282484957,0.003089077266699313,0.49874776386404296,0.01730992271281907,0.3504309643844528,0.0150483259997933
flowers102,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.9296145714750365,0.005367219086666247,0.67601235973329,0.0220468726591694,0.25360221174174663,0.02154057741678515
flowers102,vit_small_in1k,ViT-S,augreg_in1k,5,0.8763376158724997,0.005483243587675783,0.34099853634737354,0.01132012861658913,0.5353390795251259,0.01419035914476339
flowers102,swin_tiny,Swin-T,ms_in1k,5,0.9364774760123596,0.0031777042073058244,0.6520735078874613,0.0248973961159067,0.2844039681248983,0.027804739409324798
