dataset,backbone,bin,n_seed,clean,clean_sd,gray,gray_sd,CR,CR_sd
flowers102,ResNet-50,low,5,0.85986328125,0.006532757890751783,0.67587890625,0.014694751004773274,0.183984375,0.01277674454275579
flowers102,ResNet-50,mid,5,0.8632245494398442,0.004181622217503121,0.5255723331709693,0.013272700042317339,0.3376522162688748,0.012925848488558949
flowers102,ResNet-50,high,5,0.8244140625,0.005010536536080196,0.2947265625,0.030626952439955193,0.5296875,0.031182024457882655
flowers102,ConvNeXt-T,low,5,0.94296875,0.007989033334858998,0.81611328125,0.02024042105466719,0.12685546875,0.014039253518020883
flowers102,ConvNeXt-T,mid,5,0.9371651242084754,0.005855243682499397,0.6889430102289331,0.01985340870688911,0.24822211397954214,0.0181653341728967
flowers102,ConvNeXt-T,high,5,0.90869140625,0.007461282612273499,0.52294921875,0.042687623499947175,0.3857421875,0.042183374273812094
flowers102,ViT-S,low,5,0.8986328125,0.0039907845198637795,0.48212890625,0.012494658282470279,0.41650390625,0.009982933740361754
flowers102,ViT-S,mid,5,0.8888455918168534,0.007438327976160183,0.3214807598636142,0.024925124699465607,0.5673648319532392,0.029191813648519836
flowers102,ViT-S,high,5,0.84150390625,0.008174883957718787,0.21943359375,0.022120272373778237,0.6220703125,0.02080788647720949
flowers102,Swin-T,low,5,0.95341796875,0.001319263289658818,0.78046875,0.018546976193647695,0.17294921875,0.01746723377287513
flowers102,Swin-T,mid,5,0.946614710180224,0.0045511188024542045,0.6673161227471993,0.028576990051383595,0.2792985874330248,0.0322670458027566
flowers102,Swin-T,high,5,0.909375,0.006814979032174962,0.5083984375,0.0457858388638486,0.4009765625,0.049061211247131316
