dataset,arm,backbone,pretrain,n_seeds,acc_mean,acc_sd,macro_f1_mean,macro_f1_sd,uar_mean,uar_sd
cub200,resnet50,ResNet-50,a1_in1k,5,0.7872626855367622,0.0029049910345075513,0.7872817550903617,0.003051025290004915,0.7891426568601941,0.002803538089923748
cub200,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.8374525371073525,0.003407114368594137,0.8368180960887969,0.003706583525143156,0.8395109180754687,0.0036557007551810505
cub200,vit_small_in1k,ViT-S,augreg_in1k,5,0.7951328960994132,0.005249190999566993,0.7935687318946191,0.005717916546426661,0.7966601726496818,0.005387559556974434
cub200,swin_tiny,Swin-T,ms_in1k,5,0.8467725232999654,0.0035651912384440567,0.8457947109867945,0.0037385602702181384,0.8485301337563745,0.0040071731841595255
