dataset,arm,backbone,pretrain,n_seeds,CR_mean,CR_sd,CR_min,CR_max
flowers102,resnet50,ResNet-50,a1_in1k,5,0.3504309643844528,0.0150483259997933,0.3320865181330298,0.36542527240201667
flowers102,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.25360221174174663,0.02154057741678515,0.2325581395348838,0.28833956740933475
flowers102,vit_small_in1k,ViT-S,augreg_in1k,5,0.5353390795251259,0.01419035914476339,0.5213855911530331,0.5553748577004392
flowers102,swin_tiny,Swin-T,ms_in1k,5,0.2844039681248983,0.027804739409324798,0.2546755570011384,0.32005204098227347
cub200,resnet50,ResNet-50,a1_in1k,5,0.4160165688643424,0.010692788264554252,0.4042112530203659,0.4333793579565067
cub200,convnext_tiny_in1k,ConvNeXt-T,fb_in1k,5,0.4163617535381429,0.004180869017228751,0.4102519848118744,0.42164307904729026
cub200,vit_small_in1k,ViT-S,augreg_in1k,5,0.497134967207456,0.01086619203182767,0.4861926130479806,0.5134622022782189
cub200,swin_tiny,Swin-T,ms_in1k,5,0.4297204004142216,0.019469073523011034,0.3981705212288574,0.45132896099413183
